local,latitude,longitude
Rua_Barao_Montezuma,-16.663550462143856,-49.31674318996023
Av_Raposo_Tavares,-16.65846236302614,-49.3162675764679
Rua_Trindade,-16.657926877079937,-49.371752622497866
Av_Aderup,-16.68739472127172,-49.314777818795214
Av_Padre_Benedito_Dias,-16.68365496307781,-49.32609777831787
Rua_Da_Alegria,-16.680376649928238,-49.32271157831795
Av_Macaubas,-16.683391476777594,-49.32339771879546
Rua_Cristovao_Colombo,-16.694464958315777,-49.35857708995923
Av_Gercina_Borges,-16.677829471353913,-49.385949482392036
Rua_Iguapo,-16.685990528096273,-49.32884640715357
Nizia_Floresta,-16.682605325369295,-49.33064237646712
Av_Pedro_Ludovico,-16.70045484693518,-49.33343595878311
Rua_Do_Prado,-16.658078091371117,-49.35861601879621
Rua_Do_Cobre,-16.70163609682808,-49.335319810008045
